epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.49327532500644966,0.7539885759306677,0.30606908467053173,0.855072463768116,0.01
2,0.279348546771895,0.8926531416190664,0.19363842594023034,0.9297658862876255,0.01
3,0.15250903609769537,0.9436675201890881,0.09796879984996941,0.9632107023411371,0.01
4,0.09651042438250329,0.9684853259799094,0.06521736259441882,0.9754738015607581,0.01
5,0.06725122026163946,0.9783336616111877,0.0426882803017293,0.987736900780379,0.01
6,0.05346189303536554,0.9808942288753201,0.02977458512960272,0.987736900780379,0.01
7,0.03805314945070599,0.9875910971045894,0.11752409800892778,0.9609810479375697,0.01
8,0.03743435386118501,0.9875910971045894,0.030115417303963637,0.9910813823857302,0.01
9,0.03079610789660452,0.9895607642308449,0.033639292394917655,0.9899665551839465,0.01
10,0.016953457585453163,0.9942879653338585,0.014711916956733868,0.9944258639910813,0.01
11,0.018354699596705396,0.9944849320464841,0.03200580942783554,0.987736900780379,0.01
12,0.00851175227904352,0.9974394327358677,0.1155497518665939,0.9698996655518395,0.01
13,0.019590865269587126,0.9946818987591097,0.048605227104356385,0.987736900780379,0.01
14,0.015320511635569342,0.9962576324601142,0.02533111946526483,0.9933110367892977,0.01
15,0.005007746040599974,0.9984242662989955,0.03279966309619782,0.9933110367892977,0.01
16,0.012690621991471036,0.9968485325979909,0.03437469736289115,0.992196209587514,0.01
17,0.0073539784283784175,0.9974394327358677,0.01370387575620049,0.9944258639910813,0.01
18,0.0011940038930797995,1.0,0.012551092507203598,0.9966555183946488,0.01
19,0.007626738304873733,0.9980303328737443,0.10006426456279648,0.979933110367893,0.01
20,0.011163975943688158,0.9972424660232421,0.014018583336302006,0.9955406911928651,0.01
21,0.00316070519767661,0.9988181997242466,0.04109502340390586,0.9888517279821628,0.01
22,0.004613665490271918,0.9984242662989955,0.035564690922111356,0.992196209587514,0.01
23,0.000580150258209127,0.9998030332873744,0.02162019687698725,0.9944258639910813,0.01
24,0.00022239116399279857,1.0,0.01875130973927859,0.9955406911928651,0.01
25,0.000830105914946385,0.9994090998621233,0.03499341787202363,0.9933110367892977,0.01
26,0.013299411855121623,0.9962576324601142,0.037196689548479545,0.9888517279821628,0.01
27,0.0013146026370776398,0.9996060665747488,0.02418181958592825,0.9944258639910813,0.01
28,0.00037053529479566587,1.0,0.023810396004156215,0.9944258639910813,0.01
