epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.6929322544434702,0.5071892850108332,0.6871902169192515,0.5072463768115942,0.0001
2,0.6899455847621833,0.5071892850108332,0.6825906864243872,0.5072463768115942,0.0001
3,0.6885244159428933,0.5349615914910381,0.6784606859038107,0.5295429208472687,0.0001
4,0.6855982511748426,0.5584006302934804,0.6741903612313329,0.7123745819397993,0.0001
5,0.682608499861806,0.594445538703959,0.6699469336033399,0.7759197324414716,0.0001
6,0.6793897500981114,0.614930076817018,0.6692471240409374,0.7513935340022296,0.0001
7,0.6770570153370132,0.6371873153437069,0.6647495424069688,0.7491638795986622,0.0001
8,0.6739023824787196,0.6661414220996652,0.6563653493405983,0.7658862876254181,0.0001
9,0.6693105160755648,0.6815048256844594,0.6513761643449066,0.7603121516164995,0.0001
10,0.6650415732796229,0.6915501280283632,0.6474366263136551,0.7469342251950948,0.0001
