epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.4497948984344198,0.7878668505022651,0.22531620779572056,0.9141583054626533,0.001
2,0.25415254793899755,0.9066377782154816,0.16068341715080683,0.9453734671125975,0.001
3,0.15783849399107966,0.9491825881426039,0.088095633931865,0.9687848383500557,0.001
4,0.11552470619501339,0.9590309237738822,0.08673943289625173,0.9698996655518395,0.001
5,0.09158911002388367,0.9690762261177861,0.056670560661246254,0.9855072463768116,0.001
6,0.07167824642771813,0.9779397281859366,0.031515772998945035,0.9910813823857302,0.001
7,0.06142443363060498,0.9797124285995666,0.058540774104647426,0.9832775919732442,0.001
8,0.06466090413559704,0.9783336616111877,0.04524461461298583,0.9888517279821628,0.001
9,0.0632864534302392,0.979515461886941,0.0354162466228019,0.9899665551839465,0.001
10,0.05038729726415529,0.9834547961394524,0.03518127809463417,0.9855072463768116,0.001
11,0.050642714176398713,0.9840456962773292,0.046720377243525756,0.987736900780379,0.001
12,0.04268623387661923,0.9856214299783337,0.02633463178624123,0.992196209587514,0.001
13,0.045700178600945794,0.9842426629899547,0.04218129169493353,0.9899665551839465,0.001
14,0.03279583864398752,0.9895607642308449,0.06382017594527459,0.9810479375696767,0.001
15,0.042002492544814224,0.9864092968288359,0.04908400396957206,0.9810479375696767,0.001
16,0.026537684389039373,0.9925152649202285,0.017751567888101786,0.9966555183946488,0.001
17,0.022516789671184353,0.9917273980697262,0.010127690188155911,0.9955406911928651,0.001
18,0.026029935464993742,0.9915304313571006,0.028466940856005415,0.9910813823857302,0.001
19,0.029104091216344878,0.9899546976560961,0.012976809891560685,0.9944258639910813,0.001
20,0.01859281794661228,0.9929091983454796,0.022343673696443772,0.9910813823857302,0.001
21,0.023908441598828902,0.9915304313571006,0.018069085110050096,0.9933110367892977,0.001
22,0.029991640799433575,0.9911364979318495,0.0365084255309443,0.9899665551839465,0.001
23,0.017406890262628903,0.9938940319086075,0.024222280184217588,0.987736900780379,0.001
24,0.019081427459871902,0.9929091983454796,0.029605991865022538,0.987736900780379,0.001
25,0.04092763146774568,0.9866062635414615,0.045723589277427035,0.9810479375696767,0.001
26,0.02611520799788004,0.9913334646444751,0.06350439292559126,0.9810479375696767,0.001
27,0.012401602320669955,0.9960606657474886,0.013374073175965428,0.9944258639910813,0.001
